epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.93072,3.33664,4.58298,4.25574,0.00167,0.31579,0.00233,0.0007,2.79042,4.42154,4.15885,4e-05,4e-05,4e-05
2,18.967,3.33289,4.54464,4.27784,0.00167,0.31579,0.00265,0.00078,2.78977,4.42309,4.15855,9.967e-05,9.967e-05,9.967e-05
3,28.0711,3.37497,4.24597,4.20313,0.00139,0.26316,0.00505,0.00117,2.78847,4.42544,4.15751,0.000158944,0.000158944,0.000158944
4,37.1727,3.11988,4.19466,4.19082,0.00167,0.31579,0.00334,0.00123,2.78684,4.42797,4.15567,0.000217822,0.000217822,0.000217822
5,46.1678,3.13184,4.16182,4.14273,0.00167,0.31579,0.005,0.00132,2.78385,4.43094,4.15226,0.000276304,0.000276304,0.000276304
6,55.6075,3.00438,4.06129,4.11624,0.00167,0.31579,0.01068,0.00188,2.78137,4.43186,4.14886,0.00033439,0.00033439,0.00033439
7,65.027,3.12233,3.92498,4.12746,0.00139,0.26316,0.00179,0.00067,2.77728,4.43327,4.14266,0.00039208,0.00039208,0.00039208
8,74.446,3.52452,4.06289,4.17444,0.00167,0.31579,0.00248,0.00077,2.7749,4.4322,4.13877,0.000449374,0.000449374,0.000449374
9,84.4919,3.24257,3.85367,4.07402,0.00167,0.31579,0.00237,0.00086,2.77155,4.42613,4.13018,0.000506272,0.000506272,0.000506272
10,95.0957,3.09614,3.74136,4.03505,0.00167,0.31579,0.00242,0.00087,2.77112,4.42007,4.12542,0.000562774,0.000562774,0.000562774
11,105.7,3.19848,3.66573,4.00869,0.00167,0.31579,0.00234,0.00068,2.77287,4.40205,4.11576,0.00061888,0.00061888,0.00061888
12,116.292,3.07734,3.7418,3.91172,0.00167,0.31579,0.00221,0.00078,2.77521,4.39494,4.11091,0.00067459,0.00067459,0.00067459
13,126.929,3.23087,3.78293,3.90621,0.00167,0.31579,0.00233,0.00084,2.79072,4.39206,4.10515,0.000729904,0.000729904,0.000729904
14,137.656,3.25312,3.74833,3.83271,0.00167,0.31579,0.00221,0.00084,2.8056,4.3935,4.10402,0.000784822,0.000784822,0.000784822
15,148.352,3.15226,3.65374,3.79637,0.00167,0.31579,0.00279,0.00096,2.83137,4.3875,4.11236,0.000839344,0.000839344,0.000839344
16,158.89,3.00929,3.73056,3.69775,0.00167,0.31579,0.00287,0.00091,2.85159,4.38062,4.12291,0.00089347,0.00089347,0.00089347
17,169.63,2.9223,3.64077,3.65961,0.00167,0.31579,0.00307,0.00082,2.89762,4.34854,4.13776,0.0009472,0.0009472,0.0009472
18,180.196,2.89207,3.33686,3.59778,0.00167,0.31579,0.00532,0.00092,2.92412,4.35528,4.15454,0.00100053,0.00100053,0.00100053
19,192.745,2.90529,3.31989,3.48929,0.00139,0.26316,0.00316,0.00071,2.93574,4.36309,4.17409,0.00105347,0.00105347,0.00105347
20,203.486,2.78445,3.28952,3.39365,0.00139,0.26316,0.00327,0.0007,2.9449,4.34839,4.19242,0.00110601,0.00110601,0.00110601
